All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,GPIO29,,GPIO29,SCIA_TX,,EPWM7_B,GPIO29,OUTPUTXBAR6,EQEP1_B,,GPIO29,,SCIC_RX,SPIA_STE,GPIO29,ERRORSTS,I2CB_SCL,
2,A16/C16/ GPIO28,A16_C16_GPIO28,GPIO28,SCIA_RX,,EPWM7_A,GPIO28,OUTPUTXBAR5,EQEP1_A,,GPIO28,,SCIC_TX,SPIA_CLK,GPIO28,ERRORSTS,I2CB_SDA,
3,XRSn,XRSn
4,VDD,VDD
5,VSS,VSS
6,A6/ GPIO228,A6_GPIO228,GPIO228,,,ADCSOCAO,GPIO228,CANA_TX,SPIA_SOMI,,GPIO228,EPWM2_B,,EQEP1_B,GPIO228,,,
7,C6/ GPIO226,C6_GPIO226,GPIO226,,,,GPIO226,EPWM6_A,SPIA_CLK,,GPIO226,EPWM1_B,,EQEP1_STROBE,GPIO226,,SCIC_RX,
8,A3/C5/ GPIO242,A3_C5_GPIO242,GPIO242,,,,GPIO242,OUTPUTXBAR2,SPIA_STE,,GPIO242,EPWM4_A,CANA_RX,EQEP1_INDEX,GPIO242,,,
9,A2/C9/ GPIO224,A2_C9_GPIO224,GPIO224,,,,GPIO224,OUTPUTXBAR3,SPIA_SIMO,,GPIO224,EPWM1_A,CANA_TX,EQEP1_A,GPIO224,,SCIC_TX,
10,A15/C7,,AIO233,,,,,,,,,,,,,,,
11,C4/A14,,AIO239,,,,,,,,,,,,,,,
12,A11/C0,,AIO237,,,,,,,,,,,,,,,
13,A5/C2,,AIO244,,,,,,,,,,,,,,,
14,A1,,AIO232,,,,,,,,,,,,,,,
15,A0/C15/CMP1_DACL,,AIO231,,,,,,,,,,,,,,,
16,VREFHI,VREFHI
17,VREFLO,VREFLO
18,A12/C1,,AIO238,,,,,,,,,,,,,,,
19,A7/C3,,AIO245,,,,,,,,,,,,,,,
20,A8/C11,,AIO241,,,,,,,,,,,,,,,
21,VSSA,VSSA
22,VDDA,VDDA
23,A4/C14,,AIO225,,,,,,,,,,,,,,,
24,C8/A9/ GPIO227,C8_A9_GPIO227,GPIO227,I2CB_SCL,,EPWM3_A,GPIO227,OUTPUTXBAR1,EPWM2_B,,GPIO227,,,,GPIO227,,,
25,A10/C10/ GPIO230,A10_C10_GPIO230,GPIO230,I2CB_SDA,,EPWM3_B,GPIO230,CANA_RX,EPWM2_A,I2CA_SDA,GPIO230,,,,GPIO230,,,
26,VSS,VSS
27,A17/C17/ GPIO20,A17_C17_GPIO20,GPIO20,EQEP1_A,,CANA_TX,GPIO20,,SPIA_SIMO,,GPIO20,,,I2CA_SCL,GPIO20,,,SCIC_TX
28,A18/C18/ GPIO21,A18_C18_GPIO21,GPIO21,EQEP1_B,,CANA_RX,GPIO21,,SPIA_SOMI,,GPIO21,,,I2CA_SDA,GPIO21,,,SCIC_RX
29,A19/C19/ GPIO13,A19_C19_GPIO13,GPIO13,EPWM7_B,,,GPIO13,EQEP1_INDEX,SCIB_RX,,GPIO13,,,SPIA_SOMI,GPIO13,CANA_TX,,
30,A20/C20/ GPIO12,A20_C20_GPIO12,GPIO12,EPWM7_A,,,GPIO12,EQEP1_STROBE,SCIB_TX,,GPIO12,,,SPIA_CLK,GPIO12,CANA_RX,,
31,GPIO11,,GPIO11,EPWM6_B,CANA_RX,OUTPUTXBAR7,GPIO11,EQEP1_B,SCIB_RX,SPIA_STE,GPIO11,,,,GPIO11,SPIA_SIMO,,
32,GPIO33,,GPIO33,I2CA_SCL,,,GPIO33,OUTPUTXBAR4,SCIC_RX,,GPIO33,,CANA_RX,,GPIO33,ADCSOCAO,,
33,GPIO16,,GPIO16,SPIA_SIMO,,OUTPUTXBAR7,GPIO16,EPWM5_A,SCIA_TX,,GPIO16,EQEP1_STROBE,,XCLKOUT,GPIO16,,,
34,GPIO17,,GPIO17,SPIA_SOMI,,OUTPUTXBAR8,GPIO17,EPWM5_B,SCIA_RX,,GPIO17,EQEP1_INDEX,,CANA_TX,GPIO17,,EPWM6_A,
35,GPIO24,,GPIO24,OUTPUTXBAR1,,SPIA_STE,GPIO24,EPWM4_A,SPIA_SIMO,,GPIO24,,,SCIA_TX,GPIO24,ERRORSTS,,
36,TCK,TCK
37,GPIO37/TDO,,GPIO37,OUTPUTXBAR2,SPIA_STE,I2CA_SCL,GPIO37,SCIA_TX,CANA_TX,SCIC_TX,GPIO37,EQEP1_B,,EPWM5_A,GPIO37,,,TDO
38,TMS,TMS
39,GPIO35/TDI,,GPIO35,SCIA_RX,SPIA_SOMI,I2CA_SDA,GPIO35,CANA_RX,,SCIC_RX,GPIO35,EQEP1_A,,EPWM5_B,GPIO35,,,TDI
40,GPIO32,,GPIO32,I2CA_SDA,EQEP1_INDEX,SPIA_CLK,GPIO32,EPWM4_B,SCIC_TX,,GPIO32,,CANA_TX,,GPIO32,ADCSOCBO,,
41,GPIO18/ X2,,GPIO18,SPIA_CLK,SCIB_TX,CANA_RX,GPIO18,EPWM6_A,I2CA_SCL,,GPIO18,,,XCLKOUT,GPIO18,,,
42,GPIO19/ X1,,GPIO19,SPIA_STE,SCIB_RX,CANA_TX,GPIO19,EPWM6_B,I2CA_SDA,,GPIO19,,,,GPIO19,,,
43,VDDIO,VDDIO
44,VDD,VDD
45,VSS,VSS
46,GPIO39,,GPIO39,,,,GPIO39,,,,GPIO39,,,,GPIO39,SYNCOUT,EQEP1_INDEX,
47,GPIO8,,GPIO8,EPWM5_A,,ADCSOCAO,GPIO8,EQEP1_STROBE,SCIA_TX,SPIA_SIMO,GPIO8,I2CA_SCL,,,GPIO8,,,
48,GPIO4,,GPIO4,EPWM3_A,I2CA_SCL,,GPIO4,OUTPUTXBAR3,CANA_TX,,GPIO4,,,,GPIO4,,SPIA_SOMI,EPWM1_A
49,GPIO3,,GPIO3,EPWM2_B,OUTPUTXBAR2,,GPIO3,OUTPUTXBAR2,,SPIA_CLK,GPIO3,SCIA_RX,,I2CB_SCL,GPIO3,,CANA_RX,EPWM4_B
50,GPIO2,,GPIO2,EPWM2_A,,,GPIO2,OUTPUTXBAR1,,SPIA_SIMO,GPIO2,SCIA_TX,,I2CB_SDA,GPIO2,,CANA_TX,EPWM4_A
51,GPIO1,EPWM1_B,GPIO1,EPWM1_B,,,GPIO1,SCIA_TX,I2CA_SCL,SPIA_SOMI,GPIO1,EQEP1_STROBE,,,GPIO1,,,EPWM3_B
52,GPIO0,EPWM1_A,GPIO0,EPWM1_A,CANA_RX,OUTPUTXBAR7,GPIO0,SCIA_RX,I2CA_SDA,SPIA_STE,GPIO0,,,,GPIO0,EQEP1_INDEX,,EPWM3_A
53,GPIO40,,GPIO40,,,,GPIO40,EPWM2_B,,,GPIO40,SCIB_TX,EQEP1_A,,GPIO40,,,
54,GPIO23,,GPIO23,EQEP1_INDEX,,SCIB_RX,GPIO23,,,,GPIO23,SCIC_RX,,,GPIO23,,EPWM4_B,
55,GPIO41,,GPIO41,EPWM7_A,,,GPIO41,EPWM2_A,,,GPIO41,SCIB_RX,EQEP1_B,,GPIO41,,,
56,GPIO22,,GPIO22,EQEP1_STROBE,,SCIB_TX,GPIO22,,,,GPIO22,SCIC_TX,,,GPIO22,,EPWM4_A,
57,GPIO7,,GPIO7,EPWM4_B,EPWM2_A,OUTPUTXBAR5,GPIO7,EQEP1_B,,SPIA_SIMO,GPIO7,,,SCIA_TX,GPIO7,,CANA_TX,EPWM2_B
58,VSS,VSS
59,VDD,VDD
60,VDDIO,VDDIO
61,GPIO5,,GPIO5,EPWM3_B,I2CA_SDA,OUTPUTXBAR3,GPIO5,,CANA_RX,SPIA_STE,GPIO5,,,SCIA_RX,GPIO5,,,EPWM1_B
62,GPIO9,,GPIO9,EPWM5_B,SCIB_TX,OUTPUTXBAR6,GPIO9,EQEP1_INDEX,SCIA_RX,SPIA_CLK,GPIO9,,,,GPIO9,,I2CB_SCL,
63,GPIO10,,GPIO10,EPWM6_A,,ADCSOCBO,GPIO10,EQEP1_A,SCIB_TX,SPIA_SOMI,GPIO10,I2CA_SDA,,,GPIO10,,,
64,GPIO6,,GPIO6,EPWM4_A,OUTPUTXBAR4,SYNCOUT,GPIO6,EQEP1_A,,,GPIO6,,,,GPIO6,,,EPWM2_A

